mult_i_j_k mult_i_k_j mult_j_i_k mult_j_k_i mult_k_i_j mult_k_j_i
380 118.9 114.2 122.8 163.65 162.6 187.5 
381 117.9 112.15 116.15 151.95 162.05 190.75 
382 120.25 117.35 122.35 161.8 165.85 191.5 
383 126.8 124.6 125.05 182.45 163.3 204.25 
384 113.3 122 113.6 178.65 161.35 207.9 
385 113.25 116 111.85 175.9 165.9 209.95 
386 113.8 117.6 119.3 175.6 169.3 206.3 
387 115.95 117.25 115.85 184.25 168.3 214.3 
388 115.7 122.9 118.1 181.1 169.65 217.75 
389 119.3 128.65 117.5 195.95 163.75 230.5 
390 122.65 122.3 118.3 188.7 173.35 230.35 
391 128.6 128.4 124.2 207.45 165.55 215.25 
392 122.4 131.85 124.65 201.7 174.5 214.85 
393 126.65 129.95 130.25 189.95 166.3 213.9 
394 124.35 133.95 126.2 206.8 175.1 226.3 
395 128.5 137.7 122.35 186.15 163.3 218.05 
396 129.05 136.65 131.15 188.25 169 217.8 
397 124.65 136.55 125.3 197.25 185.55 213.75 
398 153.4 142.6 144.95 205.3 169.1 224.75 
399 136.35 139.25 149.05 204.45 173.9 235.85 
400 143.75 142.15 156.75 210.45 165.25 231.75 
401 138 136.2 141.5 195.05 185 219.35 
402 134.7 142.05 136.1 218.7 176.4 240.85 
403 129.9 134.65 134.9 212.9 188.25 238.3 
404 132.05 132.9 129.45 200.5 186.95 241.8 
405 136.3 138.65 134.15 201.85 193.5 237.75 
406 139 136.7 137.25 202.75 187.65 250.7 
407 134.95 137.5 138.85 208.1 193.65 249.05 
408 138.35 146.2 142.4 220.6 202.65 231.9 
409 143.8 156.1 149.4 214.85 188.2 240.7 
410 150.45 145.9 146.85 238.75 201.9 238.65 
411 162.95 158.25 157.25 218.35 193.1 241.85 
412 151.05 142.5 155.65 211.45 200.2 239.7 
413 164.85 150.4 160.65 200.4 196.15 243.6 
414 160.9 157.8 162.4 207.6 198.5 242.2 
415 147.1 148.7 152.35 205.4 211.35 245.15 
416 157.05 151.45 141.75 211.9 203.05 257.35 
417 150.7 147.25 146.4 221.4 206.85 250.7 
418 156.4 151.45 153.2 214.55 204.95 256.9 
419 148.1 151.5 150.8 234.95 204.75 272.9 
420 147.65 153.6 145.05 225.4 215.8 281.15 
421 153.4 148.8 146.55 230.6 215.45 272.5 
422 149.7 153.55 148.45 235.9 217.1 281.85 
423 161.85 157.1 150.5 221.4 214.65 267.75 
424 151.9 154.15 149.85 226.75 221.15 279.85 
425 152.3 156.55 157.25 233.05 223.4 279.6 
426 155.55 165.2 152.15 238.9 225.45 285 
427 161.65 161.05 155.15 231.25 214.8 276.55 
428 155.2 158.5 163.8 232.9 218.6 274.35 
429 155.9 159.15 154.8 223 226.25 278.05 
430 156.05 161.7 155.6 227.8 224.5 282.25 
431 173.45 164.1 158.5 242.75 223.7 287.25 
432 166.3 175.9 191.7 244.25 226.5 279.75 
433 167.95 165.65 159.3 236.1 233.7 287.6 
434 164.75 171.55 161.8 262.2 224.55 292.4 
435 167.95 168.45 172 270.55 211.9 299.25 
436 169.1 175.75 203.85 300.6 212.05 288.2 
437 183.55 178.8 179.95 259.5 235.35 300.85 
438 185.1 181.45 206.3 287.95 225 311 
439 183.1 189.1 213.35 270.55 220.6 288.95 
440 174.4 183.55 185.35 259.8 244.45 299.35 
441 184.6 177.75 175.55 265.85 248.4 313.55 
442 180.1 181.9 193.7 268.05 235.25 296.8 
443 195.85 182.8 187.7 248.6 246.6 301.25 
444 206.2 192.7 203.7 266.2 256.2 290.05 
445 189.35 182.85 192.4 238.75 255.55 302.05 
446 192.15 183.75 188.85 236.7 255.95 304.65 
447 189 189.85 190.55 271.15 241.05 314.9 
448 186.6 187.35 196.3 299.7 242.1 325.05 
449 203.15 200.15 211.35 316.75 270.1 343.5 
450 207.35 197.9 199.65 273.3 263.9 322.75 
451 209.4 206.85 199.5 296.9 239.2 317.5 
452 199.25 188 201.1 294.8 255.95 327.7 
453 193.9 211.55 210.5 306.9 258.8 350.65 
454 200.95 188.7 185.3 303.6 257.5 333.55 
455 199.95 204.2 195.35 287.85 266.6 335.35 
456 199.4 196.9 187.55 292.85 265.55 330.1 
457 190.85 193.9 195.2 283 266.3 335.1 
458 204.85 222.4 225.7 338.65 249 346.5 
459 243.75 220 271.75 329.6 250.65 344.35 
460 222.7 209.85 216 314.9 253.5 324.15 
461 207.85 213 196.75 282.1 261.55 347.55 
462 216.5 215.5 197.05 281.1 276 314.1 
463 209.65 221.2 216.4 297.5 262.7 329.2 
464 211 211.1 214.45 299.85 279.65 361.65 
465 236.55 235.8 264.4 372.45 260.4 345.5 
466 232.45 235.4 239.75 362.6 270.1 369.15 
467 216.4 224.75 215.9 334.95 265.35 352.3 
468 222.65 213.55 225.8 322.25 284.75 356 
469 225.55 219 224.5 333.65 276.65 370.9 
470 269.55 249.6 258.3 404.95 296.45 393.55 
471 232.95 219.2 271.55 353.7 283.1 383.95 
472 253.15 253.85 235.85 335.25 265.55 372 
473 230.95 236.75 251.9 333.35 266.45 353.15 
474 251.4 230.5 253.25 330.15 281.65 355.1 
475 242.95 246.7 244.45 309.05 283.1 350.85 
476 248.65 256.4 253.65 329.15 288.75 331.65 
477 265.5 242.6 262.75 302.7 274.35 350.3 
478 249.55 262.45 259.2 329.05 291.45 368.65 
479 229.05 224.3 225.35 324.45 309.5 384.1 
480 224.15 232.5 219.2 326.25 316.65 395.15 
481 234.1 247.55 219.4 327.8 319.9 369.5 
482 226.55 232.45 228.35 320 322.25 387.6 
483 228.65 227 234 334.85 316.5 397.1 
484 229.5 249 225.1 336 314.55 396.45 
485 231.65 233.05 247.95 353.55 313 411.85 
486 288.15 287.1 293.3 376.9 312.15 406 
487 264.15 268.5 271.2 402.15 305.05 399.3 
488 243.9 243.7 249.5 349.1 303.5 406.75 
489 244.9 235.4 230.15 350.95 325.2 418.45 
490 237.85 253.7 232.15 359.7 325.75 397.95 
491 237.6 239.85 234.35 330.8 334.45 415 
492 242.85 247.45 237.15 328.55 334.4 410.2 
493 240.1 243.65 238.3 363.5 331.3 421.65 
494 256.9 259.05 253.25 358 330.95 391.2 
495 243.6 254.15 261.4 339.05 337.5 407.7 
496 245.85 244.75 243.6 343.35 347.5 434.7 
497 250.85 268.05 244.2 357.05 340.75 425.9 
498 249.55 252.75 263.45 362.2 341.1 423.25 
499 263.75 260.8 259.65 380.45 327.5 433.5 
500 260.95 263.7 248.35 360.2 353.55 446.15 
